,pri_gene,symbol
XRN2,XRN2,XRN2
FBXO43,FBXO43,FBXO43
DPEP2,DPEP2,DPEP2
TTLL5,TTLL5,TTLL10
TTLL5,TTLL5,TTLL5
YAP1,YAP1,YAP1
RMND1,RMND1,RMND1
MYO18B,MYO18B,MYO18B
TMEM138,TMEM138,TMEM138
SLC22A17,SLC22A17,SLC22A17
CXCL1,CXCL1,CXCL1
TIMM10B,TIMM10B,TIMM10B
DRC1,DRC1,CRNN
DRC1,DRC1,DRC1
UBAP2L,UBAP2L,UBAP2L
SDE2,SDE2,SDE2
ZNF185,ZNF185,ZNF185
HSF5,HSF5,HSF5
TTF2,TTF2,FOXE1
TTF2,TTF2,TTF2
MMP20,MMP20,MMP25
MMP20,MMP20,MMP20
CD109,CD109,CD109
INIP,INIP,INIP
PGAP6,PGAP6,PGAP6
FLYWCH1,FLYWCH1,FLYWCH1
SLC5A8,SLC5A8,SLC5A8
STRN,STRN,STRN
PCM1,PCM1,MBD1
PCM1,PCM1,PCM1
NARS2,NARS2,NARS2
SLC22A25,SLC22A25,SLC22A25
IQUB,IQUB,IQUB
SNX31,SNX31,SNX31
CCT6A,CCT6A,CCT6A
LYPD2,LYPD2,LYPD2
GZF1,GZF1,GZF1
GAS2L1,GAS2L1,GAS2L1
GSTK1,GSTK1,GSTK1
DGKZ,DGKZ,DGKZ
GPBP1,GPBP1,GPBP1
MDC1-AS1,MDC1-AS1,MDC1-AS1
NCOA2,NCOA2,NCOA2
DGUOK,DGUOK,DGUOK
TNRC6B,TNRC6B,TNRC6B
SNAPC5,SNAPC5,SNAPC5
GPA33,GPA33,GPA33
EVPL,EVPL,EVPL
CSTA,CSTA,CSTA
NMS,NMS,NMS
PET100,PET100,PET100
GRK6,GRK6,GRK6
WDR62,WDR62,WDR62
NME5,NME5,NME5
BICDL1,BICDL1,BICDL1
HLA-DQB2,HLA-DQB2,HLA-DQB2
TMEM179B,TMEM179B,TMEM179B
COMMD4,COMMD4,COMMD4
ODF2L,ODF2L,ODF2L
AKR1C2,AKR1C2,AKR1C2
ZNF572,ZNF572,ZNF572
CRYGB,CRYGB,CRYGB
COPA,COPA,COPA
ATXN7L2,ATXN7L2,ATXN7L2
VPS39,VPS39,VPS39
FOXO4,FOXO4,FOXO4
TBX10,TBX10,TBX10
MLH1,MLH1,MLH1
PARP15,PARP15,PARP15
MMP28,MMP28,MMP28
RTEL1,RTEL1,RTEL1
CNP,CNP,NPPC
CNP,CNP,CNP
VPS53,VPS53,VPS53
NUMBL,NUMBL,NUMBL
LOC157273,LOC157273,LOC157273
P4HB,P4HB,P4HB
KDM3B,KDM3B,KDM3B
AQP4,AQP4,AQP4
ZNF574,ZNF574,ZNF574
IFRD1,IFRD1,IFRD1
ITGA10,ITGA10,ITGA10
DDX51,DDX51,DDX51
SPDYE4,SPDYE4,SPDYC
SPDYE4,SPDYE4,SPDYE4
UNCX,UNCX,UNCX
DNAJC13,DNAJC13,DNAJC13
ZIK1,ZIK1,ZIK1
ARHGAP21,ARHGAP21,ARHGAP21
FKRP,FKRP,FKRP
FOSL1,FOSL1,FOSL1
TNPO3,TNPO3,TNPO3
KLF10,KLF10,KLF10
KAT14,KAT14,KAT14
ABCA1,ABCA1,ABCA1
RPL10A,RPL10A,RPL10A
COX6A1,COX6A1,COX6A1
KISS1R,KISS1R,KISS1R
C15orf61,C15orf61,C15orf61
RAP2A,RAP2A,RAP2A
CD151,CD151,CD151
DENND2D,DENND2D,DENND2D
FBXO11,FBXO11,FBXO11
PTPMT1,PTPMT1,PTPMT1
AAGAB,AAGAB,AAGAB
PHKG2,PHKG2,PHKG2
FNDC8,FNDC8,FNDC8
TPPP,TPPP,TPPP
XRCC4,XRCC4,XRCC4
RPL11,RPL11,RPL11
LYZ,LYZ,LYZ
CCDC144A,CCDC144A,CCDC144A
CEP68,CEP68,CRTAC1
CEP68,CEP68,CEP68
GALNT11,GALNT11,GALNT11
TBX1,TBX1,TBX1
B3GNT2,B3GNT2,B3GNT2
RCOR1,RCOR1,RCOR1
RNF31,RNF31,RNF31
TMBIM4,TMBIM4,TMBIM4
PPRC1,PPRC1,PPRC1
MED9,MED9,MED9
CYP4A11,CYP4A11,CYP4A11
DACT3,DACT3,DACT3
OIP5,OIP5,OIP5
PAXIP1,PAXIP1,PAXIP1
IQCN,IQCN,IQCN
MIR4520-1,MIR4520-1,MIR4520-1
FXYD5,FXYD5,FXYD5
PDLIM4,PDLIM4,PDLIM4
CRYZL2P-SEC16B,CRYZL2P-SEC16B,CRYZL2P-SEC16B
CRYZL2P-SEC16B,CRYZL2P-SEC16B,CRYZL2P-SEC16B
GPR150,GPR150,GPR150
WDR54,WDR54,WDR54
PCDHGC5,PCDHGC5,PCDHGC5
REV1,REV1,REV1
CPA1,CPA1,CPA1
INTS14,INTS14,INTS14
SLC30A2,SLC30A2,SLC30A2
CCSER1,CCSER1,CCSER1
DNAAF2,DNAAF2,DNAAF2
C17orf82,C17orf82,LINC02875
GDF5,GDF5,GDF5
ACOXL,ACOXL,ACOXL
NIPSNAP3A,NIPSNAP3A,NIPSNAP3A
CRISP1,CRISP1,CRISP1
ZNF236,ZNF236,ZNF236
PAQR3,PAQR3,PAQR3
UBQLN4,UBQLN4,UBQLN4
VPS37A,VPS37A,VPS37A
HCAR3,HCAR3,HCAR3
DPP8,DPP8,DPP8
KLB,KLB,KLB
LRRC73,LRRC73,LRRC73
HIPK1,HIPK1,HIPK1
ZNF148,ZNF148,ZNF148
KLHL11,KLHL11,KLHL11
CALY,CALY,CALY
ANKRD40CL,ANKRD40CL,ANKRD40CL
GSTM1,GSTM1,GSTM1
JSRP1,JSRP1,JSRP1
ACSM5,ACSM5,ACSM5
B9D1,B9D1,B9D1
CHAT,CHAT,SH2D3C
CHAT,CHAT,CHAT
GSN,GSN,GSN
LRRC3,LRRC3,LRRC3
XRCC1,XRCC1,XRCC1
CDK8,CDK8,CDK8
MCRIP1,MCRIP1,MCRIP1
NAGPA,NAGPA,NAGPA
BAP1,BAP1,RNF2
BAP1,BAP1,MAGI1
BAP1,BAP1,BAP1
LENEP,LENEP,LENEP
NUBP1,NUBP1,NUBP2
NUBP1,NUBP1,NUBP1
MNX1-AS1,MNX1-AS1,MNX1-AS1
MNX1-AS1,MNX1-AS1,MNX1-AS1
MRPL4,MRPL4,MRPL4
WDR37,WDR37,WDR37
HSPG2,HSPG2,HSPG2
ABCA10,ABCA10,ABCA10
CLEC5A,CLEC5A,CLEC5A
WDR66,WDR66,CFAP251
SFI1,SFI1,SFI1
SCNN1A,SCNN1A,SCNN1A
LAG3,LAG3,LAG3
KCNK17,KCNK17,KCNK17
FBXO46,FBXO46,FBXO46
DPYSL5,DPYSL5,DPYSL5
GAL3ST4,GAL3ST4,GAL3ST4
SMC1B,SMC1B,SMC1B
KRT85,KRT85,KRT85
ZBTB40,ZBTB40,ZBTB40
TPRG1L,TPRG1L,TPRG1L
DPM2,DPM2,DPM2
GALNT9,GALNT9,GALNT9
AARD,AARD,AARD
PRSS50,PRSS50,PRSS50
FAU,FAU,FAU
EOGT,EOGT,EOGT
DESI2,DESI2,DESI1
DESI2,DESI2,DESI2
SORCS2,SORCS2,SORCS2
WDFY2,WDFY2,WDFY2
MIR431,MIR431,MIR431
OR2A14,OR2A14,OR2A14
CCDC177,CCDC177,CCDC177
DUSP12,DUSP12,DUSP12
GALNT2,GALNT2,GALNT2
C10orf91,C10orf91,LINC02870
EPS8L1,EPS8L1,EPS8L1
PRR11,PRR11,PRR11
NUDT16L1,NUDT16L1,NUDT16L1
ARFGEF1,ARFGEF1,ARFGEF1
ATP1A1,ATP1A1,ATP1A3
ATP1A1,ATP1A1,ATP1A4
ATP1A1,ATP1A1,ATP1A1
CNN1,CNN1,CNN1
GCSAML,GCSAML,GCSAML
AKT,AKT,AKT1
SLC20A1,SLC20A1,SLC20A1
FMO1,FMO1,FMO1
RASSF6,RASSF6,RASSF6
ERRFI1,ERRFI1,ERRFI1
UBA1,UBA1,UBA1
TTC26,TTC26,IFT56
TTC14,TTC14,TTC14
RBSN,RBSN,RBSN
RNF38,RNF38,RNF38
ACOT2,ACOT2,ACOT2
AP2S1,AP2S1,AP2S1
GOT1,GOT1,GOLT1A
GOT1,GOT1,GOLT1B
GOT1,GOT1,GOT1
ALDH2,ALDH2,ALDH2
SEC13,SEC13,SEC13
C11orf65,C11orf65,C11orf65
SPACA1,SPACA1,SPACA1
OXR1,OXR1,HCRTR1
OXR1,OXR1,OXR1
ADORA2A-AS1,ADORA2A-AS1,ADORA2A-AS1
SPATS1,SPATS1,SPATS1
PIGC,PIGC,PIGC
ZNF836,ZNF836,ZNF836
L3HYPDH,L3HYPDH,L3HYPDH
STEAP4,STEAP4,STEAP4
INTS7,INTS7,INTS7
MIR338,MIR338,MIR338
CSF1,CSF1,CSF1
OR5I1,OR5I1,OR5I1
MUC1,MUC1,MUC1
CCN6,CCN6,CCN6
STK40,STK40,STK40
USP4,USP4,USP4
GLCCI1,GLCCI1,GLCCI1
PRDM16,PRDM16,PRDM16
CATSPER1,CATSPER1,CATSPER1
PPP1R15B,PPP1R15B,PPP1R15B
CLEC2L,CLEC2L,CLEC2L
AGBL3,AGBL3,AGBL3
ZMIZ2,ZMIZ2,ZMIZ2
POU4F2,POU4F2,POU4F2
PLAC8,PLAC8,PLAC8
PLAC8,PLAC8,LGALS13
TMEM120B,TMEM120B,TMEM120B
FIG4,FIG4,FIG4
FAM178B,FAM178B,FAM178B
BANK1,BANK1,BANK1
MIR3185,MIR3185,MIR3185
UIMC1,UIMC1,UIMC1
SLC17A7,SLC17A7,SLC17A7
MACROH2A2,MACROH2A2,MACROH2A2
THEM4,THEM4,THEM4
POC1A,POC1A,POC1A
FAM199X,FAM199X,FAM199X
LINC02332,LINC02332,LINC02332
LINC02332,LINC02332,LINC02332
MIR671,MIR671,MIR671
PIP,PIP,BPNT1
PIP,PIP,PIP
TAC3,TAC3,TAC3
ADORA2A,ADORA2A,ADORA2A
RPA32,RPA32,RPA2
IP6K1,IP6K1,IP6K1
SMARCD1,SMARCD1,SMARCD1
DNAJC11,DNAJC11,DNAJC11
CYBRD1,CYBRD1,CYBRD1
SLC25A10,SLC25A10,SLC25A10
AQP3,AQP3,AQP3
KRTAP21-2,KRTAP21-2,KRTAP21-2
MTMR6,MTMR6,MTMR6
ROBO1,ROBO1,ROBO1
VPS26A,VPS26A,VPS26A
MICB,MICB,MICB
HNRNPU,HNRNPU,HNRNPU
LOC101927296,LOC101927296,LOC101927296
GAB4,GAB4,GAB4
FAM110D,FAM110D,FAM110D
HDGFL2,HDGFL2,HDGFL2
BTBD1,BTBD1,BTBD1
LLCFC1,LLCFC1,LLCFC1
ANGPTL6,ANGPTL6,ANGPTL6
H3C6,H3C6,H3C6
H3C6,H3C6,H3C4
H3C6,H3C6,H3C3
H3C6,H3C6,H3C11
H3C6,H3C6,H3C8
H3C6,H3C6,H3C10
H3C6,H3C6,H3C2
H3C6,H3C6,H3C7
H3C6,H3C6,H3C12
H3C6,H3C6,H3C1
RPS9,RPS9,RPS9
ACTN4,ACTN4,ACTN4
ZNF385B,ZNF385B,ZNF385B
SLC44A3,SLC44A3,SLC44A3
OR2AJ1,OR2AJ1,OR2AJ1
ATP13A3,ATP13A3,ATP13A3
ACOT8,ACOT8,ACOT8
KLHL31,KLHL31,KLHL31
GYG2,GYG2,GYG2
LINC01291,LINC01291,LINC01291
EBLN2,EBLN2,EBLN2
CMC2,CMC2,CMC2
NSMCE3,NSMCE3,NSMCE3
CT47B1,CT47B1,CT47B1
MZT1,MZT1,MZT1
CACNA1A,CACNA1A,CACNA1A
SELENOM,SELENOM,SELENOM
MIR6720,MIR6720,MIR6720
BHLHA15,BHLHA15,BHLHA15
KRCC1,KRCC1,KRCC1
PLIN4,PLIN4,PLIN4
GPX4,GPX4,GPX4
HEXA,HEXA,HEXA
PPM1N,PPM1N,PPM1N
TBC1D16,TBC1D16,TBC1D16
EPHX4,EPHX4,EPHX4
RELL1,RELL1,RELL1
MAEA,MAEA,MAEA
KCNIP4,KCNIP4,KCNIP4
EML4,EML4,EML4
B3GALNT2,B3GALNT2,B3GALNT2
RIPOR2,RIPOR2,RIPOR2
PCDH1,PCDH1,PCDH1
SMC6,SMC6,SMC6
RNF14,RNF14,RNF14
H4C13,H4C13,H4C13
H4C13,H4C13,H4C16
H4C13,H4C13,H4C4
H4C13,H4C13,H4C6
H4C13,H4C13,H4C5
H4C13,H4C13,H4C11
H4C13,H4C13,H4C3
H4C13,H4C13,H4C8
H4C13,H4C13,H4C15
H4C13,H4C13,H4C9
DYNC2I1,DYNC2I1,DYNC2I1
HS3ST2,HS3ST2,HS3ST2
TASOR2,TASOR2,TASOR2
TAF12,TAF12,TAF12
VXN,VXN,VXN
ARHGAP17,ARHGAP17,ARHGAP17
TMEM132C,TMEM132C,TMEM132C
URB2,URB2,URB2
GEMIN8,GEMIN8,GEMIN8
COL2A1,COL2A1,COL2A1
E2F2,E2F2,E2F2
GABRA5,GABRA5,GABRA5
WT1,WT1,WT1
VPS16,VPS16,VPS16
TMEM167A,TMEM167A,TMEM167A
CBLL1,CBLL1,CBLL1
NODAL,NODAL,NODAL
DIRAS3,DIRAS3,DIRAS3
LOXL4,LOXL4,LOXL4
SPEN,SPEN,RBM15
SPEN,SPEN,SPEN
THOC3,THOC3,THOC3
EXOSC4,EXOSC4,EXOSC4
MYB,MYB,MYB
AFF2,AFF2,AFF2
INO80,INO80,INO80
PARP6,PARP6,PARP6
FAM83G,FAM83G,FAM83G
TMEM200B,TMEM200B,TMEM200B
EMB,EMB,XPO1
EMB,EMB,EMB
FZD9,FZD9,FZD9
METTL16,METTL16,METTL16
ATP8B3,ATP8B3,ATP8B3
IRF2,IRF2,IRF2
HPDL,HPDL,HPDL
LPCAT3,LPCAT3,LPCAT3
CCDC110,CCDC110,CCDC110
CETN3,CETN3,CETN3
NPTX2,NPTX2,NPTX2
MFSD5,MFSD5,SLC61A1
TRNAU1AP,TRNAU1AP,TRNAU1AP
MARK4,MARK4,MARK4
CAV2,CAV2,CAV2
SCARF2,SCARF2,SCARF2
KRT32,KRT32,KRT32
B4GALT1,B4GALT1,B4GALT1
TBR1,TBR1,TBR1
FOXE1,FOXE1,FOXE1
CRAF,CRAF,RAF1
ZNF563,ZNF563,ZNF563
TNRC18,TNRC18,TNRC18
TNRC18,TNRC18,TNRC18P2
RPS6KA1,RPS6KA1,RPS6KA1
ELK3,ELK3,KCNH8
ELK3,ELK3,ELK3
COX8A,COX8A,COX8A
IMMT,IMMT,IMMT
MARK3,MARK3,MARK3
PALMD,PALMD,PALMD
FAM193B,FAM193B,FAM193B
NPR2,NPR2,NPRL2
NPR2,NPR2,NPR2
MICA,MICA,MICA
SLC17A6,SLC17A6,SLC17A6
SNORD121B,SNORD121B,SNORD121B
DENND4B,DENND4B,DENND4B
TGFB2,TGFB2,TGFB2
SKOR1,SKOR1,SKOR1
RAPGEF2,RAPGEF2,RAPGEF2
MYL4,MYL4,MYL4
STT3A,STT3A,STT3A
SNORA80D,SNORA80D,SNORA80D
FOSL2,FOSL2,FOSL2
NVL,NVL,NVL
GABBR1,GABBR1,GABBR1
SSTR4,SSTR4,SSTR4
CSN2,CSN2,COPS2
CSN2,CSN2,CSN2
MIR1268A,MIR1268A,MIR1268A
MRPL19,MRPL19,MRPL19
NXF1,NXF1,NXF1
C9orf131,C9orf131,SPATA31G1
LEO1,LEO1,LEO1
ZNF3,ZNF3,ZNF3
USP7,USP7,USP7
RNF20,RNF20,RNF20
ASB7,ASB7,ASB7
MTHFD1,MTHFD1,MTHFD1
VSTM4,VSTM4,VSTM4
SHH,SHH,SHH
CNFN,CNFN,CNFN
MCL1,MCL1,MCL1
CWC25,CWC25,CWC25
DHODH,DHODH,DHODH
TXNDC15,TXNDC15,TXNDC15
SPAG4,SPAG4,SPAG4
C21orf58,C21orf58,C21orf58
TMF1,TMF1,TMF1
TMEM179,TMEM179,TMEM179
LIX1L,LIX1L,LIX1L
SH3PXD2A-AS1,SH3PXD2A-AS1,SH3PXD2A-AS1
REM1,REM1,REM1
MFSD9,MFSD9,SLC67A2
MUC5B-AS1,MUC5B-AS1,MUC5B-AS1
C2orf42,C2orf42,C2orf42
ENO1,ENO1,ENO1
HAPLN4,HAPLN4,HAPLN4
SLC2A12,SLC2A12,SLC2A12
LINC02301,LINC02301,LINC02301
LINC02301,LINC02301,LINC02301
MRPL30,MRPL30,MRPL30
RPIA,RPIA,RPIA
SGCA,SGCA,SGCA
ZMYND10,ZMYND10,ZMYND10
MIR548F4,MIR548F4,MIR548F4
PER1,PER1,PER1
VTN,VTN,VTN
FAM242B,FAM242B,FAM242B
GAL3ST3,GAL3ST3,GAL3ST3
FAM107A,FAM107A,FAM107A
CTTNBP2NL,CTTNBP2NL,CTTNBP2NL
CCK,CCK,RIPK2
CCK,CCK,CCK
DMD,DMD,DMD
PLP2,PLP2,PLP2
H2BE1,H2BE1,H2BK1
MRPL11,MRPL11,MRPL11
CREBBP,CREBBP,CREBBP
METTL23,METTL23,METTL23
NAV3,NAV3,NAV3
DDX59,DDX59,DDX59
TMEM203,TMEM203,TMEM203
PSMG3,PSMG3,PSMG3
IFT20,IFT20,IFT20
FOXO1,FOXO1,FOXO1
PLCH1,PLCH1,PLCH1
EFEMP2,EFEMP2,EFEMP2
ZNF613,ZNF613,ZNF613
KLHL38,KLHL38,KLHL38
RFPL2,RFPL2,RFPL2
USP22,USP22,USP22
CEPT1,CEPT1,CEPT1
ATP6V0C,ATP6V0C,ATP6V0C
TMX4,TMX4,TMX4
KRT23,KRT23,KRT23
TLE1,TLE1,TLE1
NPL,NPL,NPL
UBE2B,UBE2B,UBE2B
PLEKHM2,PLEKHM2,PLEKHM2
MAGI1-IT1,MAGI1-IT1,MAGI1-IT1
SRFBP1,SRFBP1,SRFBP1
HYOU1,HYOU1,HYOU1
PLXND1,PLXND1,PLXND1
CENPW,CENPW,CENPW
USP30,USP30,USP30
GSPT2,GSPT2,GSPT2
WRNIP1,WRNIP1,WRNIP1
IMMP1L,IMMP1L,IMMP1L
CABIN1,CABIN1,CABIN1
C3orf22,C3orf22,C3orf22
TPI1,TPI1,TPI1
INHBE,INHBE,INHBE
KLHDC4,KLHDC4,KLHDC4
GPATCH2L,GPATCH2L,GPATCH2L
SUZ12,SUZ12,SUZ12
RARS2,RARS2,RARS2
MIR3202-2,MIR3202-2,MIR3202-2
MTX3,MTX3,MTX3
TCHHL1,TCHHL1,TCHHL1
NDOR1,NDOR1,NDOR1
LINC01194,LINC01194,LINC01194
PPFIBP2,PPFIBP2,PPFIBP2
GALT,GALT,GALT
GNG11,GNG11,GNG11
KRTAP4-2,KRTAP4-2,KRTAP4-2
LINC02323,LINC02323,LINC02323
MRPS33,MRPS33,MRPS33
S100A12,S100A12,S100A12
MIR7112,MIR7112,MIR7112
PTENP1-AS,PTENP1-AS,PTENP1-AS
RPL18A,RPL18A,RPL18A
CSF3,CSF3,CSF3
FLOT1,FLOT1,FLOT1
SMIM7,SMIM7,SMIM7
TPM3,TPM3,TPM3
DEUP1,DEUP1,DEUP1
KCND3,KCND3,KCND3
BLACE,BLACE,BLACE
ABCA7,ABCA7,ABCA7
NPBWR1,NPBWR1,NPBWR1
GADD45GIP1,GADD45GIP1,GADD45GIP1
LINC02162,LINC02162,LINC02162
LINC02162,LINC02162,LINC02162
LTBR,LTBR,LTBR
ZSCAN20,ZSCAN20,ZSCAN20
ZNF28,ZNF28,ZNF28
SYT16,SYT16,SYT16
ZNF786,ZNF786,ZNF786
SERPINE1,SERPINE1,SERPINE1
E2F3,E2F3,E2F3
TMEM53,TMEM53,TMEM53
MESTIT1,MESTIT1,MESTIT1
RIPOR3,RIPOR3,RIPOR3
BAG3,BAG3,BAG3
LIMS2,LIMS2,LIMS2
MPPED1,MPPED1,MPPED1
MIR6133,MIR6133,MIR6133
SCYL3,SCYL3,CCL15
SCYL3,SCYL3,SCYL3
ATRN,ATRN,ATRN
APEX2,APEX2,APEX2
HOXB4,HOXB4,HOXB4
AP2M1,AP2M1,AP2M1
MAP7D2,MAP7D2,MAP7D2
STT3B,STT3B,STT3B
FLOT2,FLOT2,FLOT2
ELAPOR1,ELAPOR1,ELAPOR1
MRPS28,MRPS28,MRPS35
MRPS28,MRPS28,MRPS28
KIAA1671-AS1,KIAA1671-AS1,KIAA1671-AS1
LOC105377752,LOC105377752,LOC105377752
PDYN-AS1,PDYN-AS1,PDYN-AS1
TBC1D10C,TBC1D10C,TBC1D10C
ENTREP2,ENTREP2,ENTREP2
AKAP6,AKAP6,AKAP6
CENPV,CENPV,CENPV
CCL21,CCL21,CCL21
C3orf14,C3orf14,CEP15
SBF1,SBF1,SBF1
MLXIPL,MLXIPL,MLXIPL
ZNRF2,ZNRF2,ZNRF2
TAL1,TAL1,TAL1
SKIC8,SKIC8,SKIC8
DLG5,DLG5,DLG5
ZNF714,ZNF714,ZNF714
CACUL1,CACUL1,CACUL1
WSB2,WSB2,WSB2
DCC,DCC,DCC
TBC1D2B,TBC1D2B,TBC1D2B
KRT18P55,KRT18P55,KRT18P55
KRT18P55,KRT18P55,KRT18P55
MFAP1,MFAP1,MFAP1
RPAP2,RPAP2,RPAP2
MSANTD2,MSANTD2,MSANTD2
RMC1,RMC1,RMC1
WIF1,WIF1,WIF1
ANAPC10,ANAPC10,ANAPC10
LTN1,LTN1,LTN1
PIM3,PIM3,PIM3
PLA2G4D,PLA2G4D,PLA2G4D
KIF2C,KIF2C,KIF2C
PAQR7,PAQR7,PAQR7
MED13,MED13,MED13
C13orf42,C13orf42,C13orf42
DDIT4,DDIT4,DDIT4
SLC25A46,SLC25A46,SLC25A46
SPINT1,SPINT1,SPINT1
DCTN4,DCTN4,DCTN4
AK5,AK5,AK5
LINC00877,LINC00877,LINC00877
PRPF38A,PRPF38A,PRPF38A
BEST2,BEST2,BEST2
ACTR5,ACTR5,ACTR5
TTL,TTL,TTL
CCNT1,CCNT1,CCNT1
RPL18,RPL18,RPL18
ORC4,ORC4,ORC4
SALL3,SALL3,SALL3
BMS1,BMS1,BMS1
HID1,HID1,HID1
CTNND1,CTNND1,TMX2-CTNND1
CTNND1,CTNND1,CTNND1
TCERG1L,TCERG1L,TCERG1L
DIRAS2,DIRAS2,DIRAS2
RAPH1,RAPH1,RAPH1
LILRA6,LILRA6,LILRA6
LILRA6,LILRA6,LILRB3
PRDM9,PRDM9,PRDM9
ZDHHC19,ZDHHC19,ZDHHC19
GCNT4,GCNT4,GCNT4
LIMD1,LIMD1,LIMD1
EPCAM,EPCAM,EPCAM
NFYA,NFYA,NFYA
CLCN1,CLCN1,CLCN1
YIPF5,YIPF5,YIPF5
KRT7,KRT7,KRT7
TAS2R3,TAS2R3,TAS2R3
GAMT,GAMT,GAMT
EIF4EBP3,EIF4EBP3,EIF4EBP3
POU3F1,POU3F1,POU3F1
SSC5D,SSC5D,SSC5D
LOC100506016,LOC100506016,LOC100506016
FOXL2NB,FOXL2NB,FOXL2NB
FAM104B,FAM104B,VCF2
DKK2,DKK2,DKK2
PRPF38B,PRPF38B,PRPF38B
MARCH10,MARCH10,MARCHF10
ENTPD8,ENTPD8,ENTPD8
NELFB,NELFB,NELFB
CBLN1,CBLN1,CBLN1
SPRY2,SPRY2,SPRY2
COL14A1,COL14A1,COL14A1
CHMP2B,CHMP2B,CHMP2B
GNAL,GNAL,GNAL
COL8A2,COL8A2,COL8A2
SPNS2,SPNS2,SPNS2
PSMC3,PSMC3,PSMC3
H3C12,H3C12,H3C12
H3C12,H3C12,H3C4
H3C12,H3C12,H3C3
H3C12,H3C12,H3C11
H3C12,H3C12,H3C8
H3C12,H3C12,H3C10
H3C12,H3C12,H3C2
H3C12,H3C12,H3C7
H3C12,H3C12,H3C1
H3C12,H3C12,H3C6
CRLF3,CRLF3,CRLF3
VMAC,VMAC,VMAC
GPR143,GPR143,GPR143
GZMM,GZMM,GZMM
BHMT2,BHMT2,BHMT2
TMEM247,TMEM247,TMEM247
NPY,NPY,NPY
B4GALNT3,B4GALNT3,B4GALNT3
SOX17,SOX17,SOX17
NCS1,NCS1,NCS1
PAX4,PAX4,PAX4
EIF3L,EIF3L,EIF3L
BNIP3,BNIP3,BNIP3
KNSTRN,KNSTRN,KNSTRN
MIR572,MIR572,MIR572
PYURF,PYURF,PYURF
MS4A13,MS4A13,MS4A13
RAD51D,RAD51D,RAD51D
FIBIN,FIBIN,FIBIN
SESN3,SESN3,SESN3
GPR182,GPR182,ACKR5
CEACAM3,CEACAM3,CEACAM3
CEACAM3,CEACAM3,CEACAM21
ZNF285,ZNF285,ZNF285
PRRG1,PRRG1,PRRG1
TMEM114,TMEM114,TMEM114
ITGAV,ITGAV,ITGAV
OTX2-AS1,OTX2-AS1,OTX2-AS1
MUC5B,MUC5B,MUC5B
VMA21,VMA21,ATP6V0E1
VMA21,VMA21,VMA21
SRCIN1,SRCIN1,SRCIN1
MPHOSPH6,MPHOSPH6,MPHOSPH6
FOXC2-AS1,FOXC2-AS1,FOXC2-AS1
FOXC2-AS1,FOXC2-AS1,FOXC2-AS1
PCSK9,PCSK9,PCSK9
MIR4507,MIR4507,MIR4507
MATN3,MATN3,MATN3
WWOX,WWOX,WWOX
FBXW11,FBXW11,FBXW11
NIBAN2,NIBAN2,NIBAN2
CPT1A,CPT1A,CPT1A
DERL1,DERL1,DERL1
XIAP,XIAP,XIAP
CIITA,CIITA,CIITA
ZBTB3,ZBTB3,ZBTB3
ETF1,ETF1,ETF1
MEIOB,MEIOB,MEIOB
SMOC2,SMOC2,SMOC2
IGSF9,IGSF9,IGSF9
COX6A2,COX6A2,COX6A2
NFKBIE,NFKBIE,NFKBIE
PSMD1,PSMD1,PSMD1
PSMD1,PSMD1,RNU1-93P
UBP1,UBP1,UBP1
CNPY2,CNPY2,CNPY2
C19orf33,C19orf33,C19orf33
MS4A8,MS4A8,MS4A7
MS4A8,MS4A8,MS4A8
OR6V1,OR6V1,OR6V1
BMT2,BMT2,SAMTOR
CLCF1,CLCF1,CLCF1
PLAC9,PLAC9,PLAC9
HERPUD1,HERPUD1,HERPUD1
PMPCA,PMPCA,PMPCA
JARID2,JARID2,JARID2
SGO1,SGO1,SGO1
MEX3C,MEX3C,MEX3C
GGT5,GGT5,GGT5
P2RX1,P2RX1,P2RX1
PCDH20,PCDH20,PCDH20
TCTN2,TCTN2,TCTN2
PNPLA2,PNPLA2,PNPLA2
LOC101929227,LOC101929227,LOC101929227
ALDOC,ALDOC,ALDOC
FDFT1,FDFT1,FDFT1
C1orf226,C1orf226,C1orf226
CYP4Z1,CYP4Z1,CYP4Z1
TSPOAP1,TSPOAP1,TSPOAP1
C17orf113,C17orf113,C17orf113
ESRRG,ESRRG,ESRRG
LINC01806,LINC01806,LINC01806
LINC01806,LINC01806,LINC01806
FBXL5,FBXL5,FBXL5
PIF1,PIF1,PIF1
BSN,BSN,BSN
INSL5,INSL5,INSL5
LOC100130587,LOC100130587,LOC100130587
TNXB,TNXB,TNXB
HOTAIR,HOTAIR,HOTAIR
NUDT13,NUDT13,NUDT13
MAP1LC3A,MAP1LC3A,MAP1LC3A
SCD,SCD,SCD
UMPS,UMPS,UMPS
GPBP1L1,GPBP1L1,GPBP1L1
RBPMS,RBPMS,RBPMS
MDC1,MDC1,MDC1
ROMO1,ROMO1,ROMO1
PHIP,PHIP,PHIP
H2AC12,H2AC12,H2AC12
DYNC1LI2,DYNC1LI2,DYNC1LI2
CFAP46,CFAP46,CFAP46
FAM167B,FAM167B,FAM167B
MACF1,MACF1,MACF1
AEBP1,AEBP1,AEBP1
RFC5,RFC5,RFC5
MNX1-AS2,MNX1-AS2,MNX1-AS2
NKX2-8,NKX2-8,NKX2-8
MIR4783,MIR4783,MIR4783
