,pri_gene,symbol
193,CABL,ABL1
194,GSK3ALPHABETA,GSK3A
195,GSK3ALPHABETA,GSK3B
196,P38MAPK,MAPK14
197,PKCPANBETAIIPS660,PRKCB
198,P38A,MAPK14
199,HISTONEH3PS10,H3C1
200,ATMPS1981,ATM
201,ENOLASE2,ENO2
202,JAGGED1,JAG1
203,RASD2SIGHPA005839,RASD2
204,STAT1PY701,STAT1
205,FRS2ALPHAPY196,FRS2
206,FIBRONECTIN,FN1
207,CHK1PS345,CHEK1
208,FOXO3APS318S321,FOXO3
209,AKT2PS474,AKT2
210,NOTCH1CLEAVED,NOTCH1
211,PATCHED,PTCH1
212,FRA1PS265CLEAVEDD22B1,FOSL1
213,ENOLASE1,ENO1
214,TUBERINPT1462,TSC2
215,DATUBULIN,TUBA4A
216,PI3KP110ALPHA,PIK3CA
217,IRB,INSR
218,STATHMIN,STMN1
219,DMK9HISTONEH3,H3C1
CD171,CD171,L1CAM
EPHA2,EPHA2,EPHA2
MMP14,MMP14,MMP14
PLCGAMMA1,PLCGAMMA1,PLCG1
SYK,SYK,SYK
CNDP1,CNDP1,CNDP1
KIAA0513,KIAA0513,KIAA0513
MCT4,MCT4,SLC16A4
MCT4,MCT4,SLC16A3
LCN2,LCN2,LCN2
ARL8A,ARL8A,ARL8A
INO80D,INO80D,INO80D
GPC1,GPC1,GPC1
GAPDH,GAPDH,GAPDH
GAPDH,GAPDH,GAPDHP44
MACC1,MACC1,MACC1
GTPBP2,GTPBP2,GTPBP2
ACECS1,ACECS1,ACSS2
ACECS1,ACECS1,ACSS1
COL6A6,COL6A6,COL6A6
BRD1,BRD1,BRD1
SRSF9,SRSF9,SRSF9
AXL,AXL,AXL
TOR1A,TOR1A,TOR1A
PDCD4,PDCD4,PDCD4
IGFRB,IGFRB,FCGR1BP
WFDC5,WFDC5,WFDC5
FOXRED1,FOXRED1,FOXRED1
SCD1,SCD1,SCD
B4GALT5,B4GALT5,B4GALT5
GYG1,GYG1,GYG1
G6PD,G6PD,UBL4A
G6PD,G6PD,G6PD
DUSP4,DUSP4,DUSP4
HSF4,HSF4,HSF4
OSBPL6,OSBPL6,OSBPL6
MTRF1L,MTRF1L,MTRF1L
GNG10,GNG10,GNG10
SENP6,SENP6,SENP6
MRPL58,MRPL58,MRPL58
WDR75,WDR75,WDR75
TUB,TUB,TUB
CDC20B,CDC20B,CDC20B
HELZ,HELZ,HELZ
HEBP2,HEBP2,HEBP2
RPUSD4,RPUSD4,RPUSD4
C11orf68,C11orf68,C11orf68
FBN3,FBN3,FBN3
ETS1,ETS1,ETS1
ANKLE2,ANKLE2,ANKLE2
HER3,HER3,ERBB3
EMA,EMA,MUC1
EMA,EMA,ETFA
LAMB4,LAMB4,LAMB4
CCDC159,CCDC159,CCDC159
GTF2A2,GTF2A2,GTF2A2
KARS1,KARS1,KARS1
CTXN1,CTXN1,CTXN1
FCRL2,FCRL2,FCRL2
FCRL2,FCRL2,FCRLB
NAT8L,NAT8L,NAT8L
MRPL17,MRPL17,MRPL17
FEM1C,FEM1C,FEM1C
NDUFC2,NDUFC2,NDUFC2
ATAD1,ATAD1,ATAD1
SND1,SND1,SND1
EPPK1,EPPK1,KRT9
EPPK1,EPPK1,EPPK1
NDUFC1,NDUFC1,NDUFC1
FAM228A,FAM228A,FAM228A
PTEN,PTEN,PTEN
MATN4,MATN4,MATN4
IRF4,IRF4,IRF4
ITGB4,ITGB4,ITGB4
EML1,EML1,EML1
FBXL19,FBXL19,FBXL19
FOXD3,FOXD3,FOXD3
AGPAT5,AGPAT5,AGPAT5
GORASP2,GORASP2,GORASP2
C5orf52,C5orf52,C5orf52
GPS2,GPS2,GPS2
MRPS18A,MRPS18A,MRPS18A
SNRNP25,SNRNP25,SNRNP25
LMF2,LMF2,LMF2
PARP1,PARP1,PARP1
ARHGAP33,ARHGAP33,ARHGAP33
ANTXR1,ANTXR1,ANTXR1
FXYD1,FXYD1,FXYD1
RSBN1L,RSBN1L,RSBN1L
MOB2,MOB2,MOB2
GTPBP8,GTPBP8,GTPBP8
FBXO40,FBXO40,FBXO40
RSRP1,RSRP1,RSRP1
NDUFS2,NDUFS2,NDUFS2
PDHA1,PDHA1,PDHA1
DMBT1,DMBT1,DMBT1
CACNA1B,CACNA1B,CACNA1B
IBA57,IBA57,IBA57
MLKL,MLKL,MLKL
NEK6,NEK6,NEK6
YAP,YAP,YAP1
REX1BD,REX1BD,REX1BD
ZNF835,ZNF835,ZNF835
HEATR6,HEATR6,HEATR6
MYNN,MYNN,ZBTB32
MYNN,MYNN,MYNN
YWHAG,YWHAG,YWHAG
RILP,RILP,PRICKLE1
RILP,RILP,RILP
UBR1,UBR1,UBR1
HS3ST3B1,HS3ST3B1,HS3ST3B1
ACACA,ACACA,ACACA
VWA2,VWA2,VWA2
RPRML,RPRML,RPRML
CLSPN,CLSPN,CLSPN
MAD2L2,MAD2L2,MAD2L2
COMMD2,COMMD2,COMMD2
CDC73,CDC73,CDC73
DYNLT4,DYNLT4,DYNLT4
MAGEH1,MAGEH1,MAGEH1
COX11,COX11,COX11
COX11,COX11,COX11P1
MAB21L3,MAB21L3,MAB21L3
WDR11,WDR11,PHIP
WDR11,WDR11,WDR11
SCO1,SCO1,SCO1
COMT,COMT,COMT
PSME3,PSME3,PSME3
ATP5MJ,ATP5MJ,ATP5MJ
WHAMM,WHAMM,WHAMM
ROR1,ROR1,RORA
ROR1,ROR1,ROR1
LRRFIP1,LRRFIP1,LRRFIP1
RPL22,RPL22,RPL22
LINGO3,LINGO3,LINGO3
PRKAB1,PRKAB1,PRKAB1
TECPR1,TECPR1,TECPR1
CUEDC2,CUEDC2,CUEDC2
LASU1,LASU1,HUWE1
UGCG,UGCG,UGCG
BBS12,BBS12,BBS12
MITF,MITF,MITF
ADAMTSL2,ADAMTSL2,ADAMTSL2
PAI1,PAI1,SERPINE1
CSNK2A1,CSNK2A1,CSNK2A2
CSNK2A1,CSNK2A1,CSNK2A1
PAK1IP1,PAK1IP1,PAK1IP1
PML,PML,PML
AKTIP,AKTIP,AKTIP
MNK1,MNK1,MKNK1
DSG2,DSG2,DSG2
ARHGAP39,ARHGAP39,ARHGAP39
PNRC2,PNRC2,PNRC2
SWSAP1,SWSAP1,SWSAP1
GSK3B,GSK3B,GSK3B
MRPL50,MRPL50,MRPL50
H4C1,H4C1,H4C1
H4C1,H4C1,H4C16
H4C1,H4C1,H4C4
H4C1,H4C1,H4C6
H4C1,H4C1,H4C5
H4C1,H4C1,H4C13
H4C1,H4C1,H4C15
H4C1,H4C1,H4C9
H4C1,H4C1,H4C12
H4C1,H4C1,H4C2
MRPS5,MRPS5,MRPS5
TFAP2A,TFAP2A,TFAP2A
NDUFB11,NDUFB11,NDUFB11
KIR3DL1,KIR3DL1,KIR3DL1
SEMA4B,SEMA4B,SEMA4B
NDUFAF4,NDUFAF4,NDUFAF4
HYLS1,HYLS1,HYLS1
ATP5MC3,ATP5MC3,ATP5MC3
SLC41A3,SLC41A3,SLC41A3
EP400,EP400,EP400
PDHB,PDHB,PDHB
NME6,NME6,NME6
TRARG1,TRARG1,TRARG1
BMP4,BMP4,BMP4
ZNHIT3,ZNHIT3,ZNHIT3
PKCALPHA,PKCALPHA,PRKCA
MTMR9,MTMR9,MTMR9
ALAD,ALAD,ALAD
MOSMO,MOSMO,MOSMO
B3GNT4,B3GNT4,B3GNT4
TTC9C,TTC9C,TTC9C
TRAP1,TRAP1,TGFBRAP1
TRAP1,TRAP1,TRAP1
TRAP1,TRAP1,HSP90B2P
KCNH6,KCNH6,KCNH6
TRIM25,TRIM25,TRIM25
RASIP1,RASIP1,RASIP1
TAF1L,TAF1L,TAF1L
MFSD1,MFSD1,MFSD1
LRFN3,LRFN3,LRFN3
MAD1L1,MAD1L1,MAD1L1
VN1R2,VN1R2,VN1R2
LANCL2,LANCL2,LANCL2
MRPL40,MRPL40,MRPL40
TFB2M,TFB2M,TFB2M
PDL1,PDL1,CD274
RBFOX1,RBFOX1,RBFOX1
ZMYM4,ZMYM4,ZMYM4
MYLK2,MYLK2,MYLK2
TBC1D15,TBC1D15,TBC1D15
SYNPR,SYNPR,SYNPR
MAGIX,MAGIX,MAGIX
DOLPP1,DOLPP1,DOLPP1
ID4,ID4,ID4
GRP75,GRP75,HSPA9
VIPR2,VIPR2,VIPR2
TMEM260,TMEM260,TMEM260
ZNF532,ZNF532,ZNF532
TMEM201,TMEM201,TMEM201
ADCY3,ADCY3,ADCY8
ADCY3,ADCY3,ADCY3
CLDND2,CLDND2,CLDND2
SFMBT2,SFMBT2,SFMBT2
SAGE1,SAGE1,SAGE1
SLC1A5,SLC1A5,SLC1A5
AIDA,AIDA,ANKS1B
AIDA,AIDA,AIDA
ZNF658,ZNF658,ZNF658
NDUFB10,NDUFB10,NDUFB10
ATP8B4,ATP8B4,ATP8B4
SCARF1,SCARF1,SCARF1
TCHH,TCHH,TCHH
SLC39A4,SLC39A4,SLC39A4
MCAT,MCAT,MCAT
LAMA4,LAMA4,LAMA4
TYRO3,TYRO3,TYRO3
SIRT3,SIRT3,SIRT3
MAIP1,MAIP1,MAIP1
